date;music;voice;perfect;great;good;ok;missed;evaluated;precision
2026-05-22T13:59:34.935462;Quem de Nós - Vocal Livre;Filho;161;4;5;1;6;177;98.2846
2026-05-22T14:32:12.854433;Meu Lar - Prisma Brasil;Tenor;352;16;5;4;51;428;93.2959
2026-05-22T14:39:22.252462;Meu Lar - Prisma Brasil;Tenor;359;10;4;4;51;428;92.5989
2026-05-24T11:59:39.952662;Quem de Nós - Vocal Livre;Filho;156;4;5;1;11;177;96.8846
2026-05-24T15:03:45.6895866;Quem de Nós - Vocal Livre;Filho;158;5;2;1;11;177;97.0514
2026-05-24T15:53:54.7140154;Quem de Nós - Vocal Livre;Filho;160;4;3;0;10;177;97.7395
2026-05-24T17:25:07.9158646;Meu Lar - Prisma Brasil;Tenor;356;13;4;1;54;428;93.3555
2026-05-24T17:36:11.5747563;Usa-me, Renova-me com Tal Qual Estou - Cantata Experiência com Deus;Tenor;99;12;7;8;4;130;93.1749
2026-05-24T17:46:42.1724038;Levanto a Cruz - Adoradores 4;Tenor;300;13;7;3;28;351;92.7159
2026-05-24T17:52:09.6711787;Levanto a Cruz - Adoradores 4;Tenor;296;19;7;4;25;351;93.3986
2026-05-24T18:26:21.9956594;Digno é o Senhor - Nova Voz;Tenor;247;9;13;5;21;295;93.2799
2026-05-25T06:46:25.7561079;Meu Lar - Prisma Brasil;Tenor;349;14;10;4;51;428;92.4815
2026-05-25T10:48:42.1568597;Usa-me, Renova-me com Tal Qual Estou - Cantata Experiência com Deus;Tenor;98;12;11;2;7;130;93.6393
2026-05-25T10:56:59.996415;Usa-me, Renova-me com Tal Qual Estou - Cantata Experiência com Deus;Tenor;97;11;8;7;7;130;92.2729
2026-05-25T11:12:15.1122227;Meu Lar - Prisma Brasil;Tenor;371;4;5;0;48;428;93.9207
2026-05-25T11:21:42.1886238;Usa-me, Renova-me com Tal Qual Estou - Cantata Experiência com Deus;Tenor;102;11;7;8;2;130;92.2507
2026-05-25T11:50:47.3289456;Usa-me, Renova-me com Tal Qual Estou - Cantata Experiência com Deus;Tenor;101;16;5;6;2;130;93.2556
2026-05-25T14:27:28.5676781;Quem de Nós - Vocal Livre;Tenor;139;6;7;11;14;177;92.4101
2026-05-25T16:24:42.462882;Meu Lar - Prisma Brasil;Tenor;367;9;8;3;41;428;94.2885
2026-05-25T17:02:11.8575045;Meu Lar - Prisma Brasil;Tenor;375;9;4;0;40;428;95.1635
2026-05-25T17:21:01.3088075;Meu Lar - Prisma Brasil;Tenor;374;10;5;1;38;428;95.0776
2026-05-26T04:54:19.3360927;Meu Lar - Prisma Brasil;Tenor;371;10;8;3;36;428;94.8875
2026-05-26T05:08:36.5434744;Meu Lar - Prisma Brasil;Tenor;364;7;8;5;44;428;94.0007
2026-05-26T05:19:33.5736474;Meu Lar - Prisma Brasil;Tenor;376;8;6;3;35;428;95.3855
2026-05-28T05:01:51.867357;Digno é o Senhor - Nova Voz;Tenor;248;18;4;2;23;295;94.2775
2026-05-28T05:09:38.789573;Digno é o Senhor - Nova Voz;Tenor;258;7;3;7;20;295;94.0777
2026-05-28T10:02:26.4169049;Usa-me, Renova-me com Tal Qual Estou - Cantata Experiência com Deus;Tenor;102;14;4;4;6;130;95.3081
2026-05-28T10:22:29.0541365;Usa-me, Renova-me com Tal Qual Estou - Cantata Experiência com Deus;Tenor;109;13;4;2;2;130;97.7930
2026-05-28T10:45:35.3303845;Quem de Nós - Vocal Livre;Filho;151;4;1;1;20;177;94.2486
2026-05-28T10:54:56.646138;Quem de Nós - Vocal Livre;Filho;165;2;0;0;10;177;98.0769
2026-05-28T19:28:47.071281;Agradece ao Pai - Prisma Brasil;Tenor;206;6;4;11;44;271;94.7518
2026-05-28T19:36:22.107695;Usa-me, Renova-me com Tal Qual Estou - Cantata Experiência com Deus;Tenor;107;10;4;4;5;130;95.6381
2026-05-31T13:46:59.1626493;Meu Lar - Prisma Brasil;Tenor;367;12;6;0;43;428;94.5418
2026-05-31T13:59:37.4215071;Meu Lar - Prisma Brasil;Tenor;376;10;1;4;37;428;95.0526
2026-05-28T19:36:22.107695;Usa-me, Renova-me com Tal Qual Estou - Cantata Experiência com Deus;Tenor;107;10;4;4;5;130;95.6381
2026-05-31T13:46:59.1626493;Meu Lar - Prisma Brasil;Tenor;367;12;6;0;43;428;94.5418
2026-05-31T14:13:01.6979314;Meu Lar - Prisma Brasil;Tenor;374;12;7;3;32;428;95.1641
2026-05-31T14:55:38.4940018;Meu Lar - Prisma Brasil;Tenor;370;14;2;1;41;428;94.6781
